,price,state,prev_state,latest_uptrend,latest_downtrend,latest_rally,latest_reaction,latest_second_rally,latest_second_reaction,redline_uptrend,redline_reaction,blackline_downtrend,blackline_rally,Date
64,350.1009521484375,reaction,uptrend,356.2818908691406,324.4732971191406,351.8893737792969,350.1009521484375,,328.69970703125,356.2818908691406,347.08416748046875,324.4732971191406,351.8893737792969,2020-11-18
65,351.5749206542969,reaction,reaction,356.2818908691406,324.4732971191406,351.8893737792969,350.1009521484375,,328.69970703125,356.2818908691406,347.08416748046875,324.4732971191406,351.8893737792969,2020-11-19
66,349.1673889160156,reaction,reaction,356.2818908691406,324.4732971191406,351.8893737792969,349.1673889160156,,328.69970703125,356.2818908691406,347.08416748046875,324.4732971191406,351.8893737792969,2020-11-20
67,351.2604675292969,second_rally,reaction,356.2818908691406,324.4732971191406,351.8893737792969,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,347.08416748046875,324.4732971191406,351.8893737792969,2020-11-23
68,356.92059326171875,rally,second_rally,356.2818908691406,324.4732971191406,356.92059326171875,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,349.1673889160156,324.4732971191406,351.8893737792969,2020-11-24
69,356.37030029296875,uptrend,rally,356.37030029296875,324.4732971191406,356.92059326171875,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,349.1673889160156,324.4732971191406,351.8893737792969,2020-11-25
70,357.36279296875,uptrend,uptrend,357.36279296875,324.4732971191406,356.92059326171875,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,349.1673889160156,324.4732971191406,351.8893737792969,2020-11-27
71,355.7807312011719,uptrend,uptrend,357.36279296875,324.4732971191406,356.92059326171875,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,349.1673889160156,324.4732971191406,351.8893737792969,2020-11-30
72,359.6720275878906,uptrend,uptrend,359.6720275878906,324.4732971191406,356.92059326171875,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,349.1673889160156,324.4732971191406,351.8893737792969,2020-12-01
73,360.4286804199219,uptrend,uptrend,360.4286804199219,324.4732971191406,356.92059326171875,349.1673889160156,351.2604675292969,328.69970703125,356.2818908691406,349.1673889160156,324.4732971191406,351.8893737792969,2020-12-02
